Ожидаемое число шагов; Реальное число шагов; dx ожидаемое; dx реальное; Разность постоянна?; Полученный результат; Требуемый результат
4; 5; 0,0833333; 0,0833333; true; 0,416667; 0,333333
16; 17; 0,0208333; 0,0208333; true; 0,354167; 0,333333
64; 65; 0,00520833; 0,00520831; true; 0,338542; 0,333333
256; 257; 0,00130208; 0,00130206; true; 0,334636; 0,333333
1024; 1025; 0,000325521; 0,000325501; true; 0,33366; 0,333333
4096; 4097; 8,13802E-05; 8,13603E-05; true; 0,333419; 0,333333
16384; 16401; 2,03451E-05; 2,03252E-05; true; 0,333696; 0,333333
65536; 65793; 5,08626E-06; 5,06639E-06; true; 0,334708; 0,333333
262144; 266305; 1,27157E-06; 1,2517E-06; true; 0,338921; 0,333333
1048576; 1118481; 3,17891E-07; 2,98023E-07; true; 0,357206; 0,333333
4194304; 5592405; 7,94729E-08; 5,96046E-08; true; 0,461056; 0,333333
