Число шагов;Результат программы;Ожидаемый результат;Абсолютная погрешность;Относительная погрешность
1; 43,35398; 63,63990; -20,28592; -0,318761
2; 43,35398; 63,63990; -20,28592; -0,318761
3; 63,42794; 63,63990; -0,21196; -0,00333055
4; 81,05309; 63,63990; 17,41319; 0,273621
5; 63,63154; 63,63990; -0,00836; -0,000131393
6; 75,67210; 63,63990; 12,03220; 0,189067
7; 73,48150; 63,63990; 9,84160; 0,154645
8; 73,12141; 63,63990; 9,48151; 0,148987
9; 70,50489; 63,63990; 6,86499; 0,107872
10; 63,63153; 63,63990; -0,00837; -0,000131513
11; 68,82288; 63,63990; 5,18298; 0,0814424
12; 68,45190; 63,63990; 4,81200; 0,075613
13; 63,63993; 63,63990; 0,00003; 4,19593E-07
14; 63,63947; 63,63990; -0,00043; -6,71349E-06
15; 63,63993; 63,63990; 0,00003; 5,39477E-07
16; 63,67945; 63,63990; 0,03955; 0,000621538
17; 63,63992; 63,63990; 0,00002; 2,9971E-07
18; 66,37750; 63,63990; 2,73760; 0,0430171
19; 63,63992; 63,63990; 0,00002; 2,9971E-07
20; 63,64831; 63,63990; 0,00841; 0,000132112
21; 65,91722; 63,63990; 2,27732; 0,0357845
22; 65,79691; 63,63990; 2,15701; 0,0338939
23; 65,68893; 63,63990; 2,04903; 0,0321973
24; 65,59339; 63,63990; 1,95349; 0,030696
25; 63,63993; 63,63990; 0,00003; 4,79535E-07
26; 63,63993; 63,63990; 0,00003; 4,19593E-07
27; 65,34885; 63,63990; 1,70895; 0,0268535
28; 63,64036; 63,63990; 0,00046; 7,25297E-06
29; 65,21874; 63,63990; 1,57884; 0,024809
30; 65,16100; 63,63990; 1,52110; 0,0239017
31; 63,63993; 63,63990; 0,00003; 4,79535E-07
32; 63,64003; 63,63990; 0,00013; 2,09797E-06
33; 63,63992; 63,63990; 0,00002; 2,9971E-07
34; 63,63992; 63,63990; 0,00002; 3,59651E-07
35; 63,63992; 63,63990; 0,00002; 2,9971E-07
36; 64,88872; 63,63990; 1,24882; 0,0196232
37; 63,63992; 63,63990; 0,00002; 3,59651E-07
38; 63,63991; 63,63990; 0,00001; 1,79826E-07
39; 63,63992; 63,63990; 0,00002; 2,9971E-07
40; 63,63992; 63,63990; 0,00002; 3,59651E-07
41; 64,72766; 63,63990; 1,08776; 0,0170924
42; 64,70040; 63,63990; 1,06050; 0,0166641
43; 64,67448; 63,63990; 1,03458; 0,0162568
44; 63,63993; 63,63990; 0,00003; 4,79535E-07
45; 63,63992; 63,63990; 0,00002; 2,39768E-07
46; 64,60397; 63,63990; 0,96407; 0,0151489
47; 64,58258; 63,63990; 0,94268; 0,0148127
48; 63,63992; 63,63990; 0,00002; 3,59651E-07
49; 64,54257; 63,63990; 0,90267; 0,0141841
50; 63,63992; 63,63990; 0,00002; 2,9971E-07
51; 63,63990; 63,63990; 0,00000; 5,99419E-08
52; 63,63992; 63,63990; 0,00002; 3,59651E-07
53; 63,63992; 63,63990; 0,00002; 2,39768E-07
54; 63,63994; 63,63990; 0,00004; 5,99419E-07
55; 64,44087; 63,63990; 0,80097; 0,012586
56; 63,63993; 63,63990; 0,00003; 5,39477E-07
57; 63,63992; 63,63990; 0,00002; 2,9971E-07
58; 64,39825; 63,63990; 0,75835; 0,0119162
59; 63,63990; 63,63990; 0,00000; 5,99419E-08
60; 64,37228; 63,63990; 0,73238; 0,0115082
61; 64,35996; 63,63990; 0,72006; 0,0113146
62; 63,63992; 63,63990; 0,00002; 2,9971E-07
63; 64,33655; 63,63990; 0,69665; 0,0109467
64; 64,32542; 63,63990; 0,68552; 0,0107718
65; 63,63992; 63,63990; 0,00002; 3,59651E-07
66; 64,30418; 63,63990; 0,66428; 0,010438
67; 63,63992; 63,63990; 0,00002; 2,39768E-07
68; 64,28423; 63,63990; 0,64433; 0,0101245
69; 64,27470; 63,63990; 0,63480; 0,00997481
70; 63,63992; 63,63990; 0,00002; 2,9971E-07
71; 63,63991; 63,63990; 0,00001; 1,19884E-07
72; 64,24774; 63,63990; 0,60784; 0,00955126
73; 64,23927; 63,63990; 0,59937; 0,00941819
74; 63,63991; 63,63990; 0,00001; 1,19884E-07
75; 63,63991; 63,63990; 0,00001; 1,79826E-07
76; 63,63991; 63,63990; 0,00001; 1,79826E-07
77; 64,20762; 63,63990; 0,56772; 0,0089208
78; 64,20022; 63,63990; 0,56032; 0,00880451
79; 63,63992; 63,63990; 0,00002; 2,9971E-07
80; 63,63992; 63,63990; 0,00002; 2,9971E-07
81; 64,17918; 63,63990; 0,53928; 0,00847387
82; 63,63990; 63,63990; 0,00000; 5,99419E-08
83; 63,63991; 63,63990; 0,00001; 1,79826E-07
84; 63,63993; 63,63990; 0,00003; 5,39477E-07
85; 64,15343; 63,63990; 0,51353; 0,00806938
86; 63,63991; 63,63990; 0,00001; 1,19884E-07
87; 64,14148; 63,63990; 0,50158; 0,00788152
88; 64,13573; 63,63990; 0,49583; 0,00779113
89; 63,63992; 63,63990; 0,00002; 2,39768E-07
90; 63,63991; 63,63990; 0,00001; 1,19884E-07
91; 63,63992; 63,63990; 0,00002; 2,9971E-07
92; 64,11391; 63,63990; 0,47401; 0,00744838
93; 63,63992; 63,63990; 0,00002; 3,59651E-07
94; 63,63992; 63,63990; 0,00002; 3,59651E-07
95; 64,09878; 63,63990; 0,45888; 0,00721053
96; 64,09393; 63,63990; 0,45403; 0,00713441
97; 64,08924; 63,63990; 0,44934; 0,00706068
98; 64,08458; 63,63990; 0,44468; 0,00698743
99; 63,63992; 63,63990; 0,00002; 2,9971E-07
100; 63,63991; 63,63990; 0,00001; 1,79826E-07
101; 64,07124; 63,63990; 0,43134; 0,00677787
102; 64,06697; 63,63990; 0,42707; 0,00671074
103; 64,06281; 63,63990; 0,42290; 0,00664528
104; 63,63993; 63,63990; 0,00003; 4,79535E-07
105; 64,05466; 63,63990; 0,41476; 0,00651724
106; 64,05071; 63,63990; 0,41081; 0,00645526
107; 63,63991; 63,63990; 0,00001; 1,19884E-07
108; 64,04305; 63,63990; 0,40315; 0,0063349
109; 64,03931; 63,63990; 0,39941; 0,00627616
