Ожидаемое число шагов; Реальное число шагов; dx ожидаемое; dx реальное; Разность постоянна?; Полученный результат; Требуемый результат
1; 0; 1,04308E-07; 1,19209E-07; true; 1,19209E-07; 1,04308E-07
2; 1; 1,04308E-07; 1,19209E-07; true; 2,38419E-07; 2,08616E-07
4; 3; 1,04308E-07; 1,19209E-07; true; 3,72529E-07; 4,17233E-07
8; 6; 1,04308E-07; 1,19209E-07; true; 7,45058E-07; 8,34465E-07
16; 13; 1,04308E-07; 1,19209E-07; true; 1,47521E-06; 1,66893E-06
32; 27; 1,04308E-07; 1,19209E-07; true; 2,93553E-06; 3,33786E-06
64; 55; 1,04308E-07; 1,19209E-07; true; 5,85616E-06; 6,67572E-06
128; 111; 1,04308E-07; 1,19209E-07; true; 1,16974E-05; 1,33514E-05
256; 223; 1,04308E-07; 1,19209E-07; true; 2,33799E-05; 2,67029E-05
512; 447; 1,04308E-07; 1,19209E-07; true; 4,67449E-05; 5,34058E-05
1024; 895; 1,04308E-07; 1,19209E-07; true; 9,3475E-05; 0,000106812
2048; 1791; 1,04308E-07; 1,19209E-07; true; 0,000186935; 0,000213623
4096; 3583; 1,04308E-07; 1,19209E-07; true; 0,000373855; 0,000427246
8192; 7167; 1,04308E-07; 1,19209E-07; true; 0,000747696; 0,000854492
16384; 14335; 1,04308E-07; 1,19209E-07; true; 0,00149538; 0,00170898
32768; 28671; 1,04308E-07; 1,19209E-07; true; 0,00299074; 0,00341797
65536; 57343; 1,04308E-07; 1,19209E-07; true; 0,00598146; 0,00683594
131072; 114687; 1,04308E-07; 1,19209E-07; true; 0,0119629; 0,0136719
262144; 229375; 1,04308E-07; 1,19209E-07; true; 0,0239258; 0,0273438
524288; 458751; 1,04308E-07; 1,19209E-07; true; 0,0478516; 0,0546875
1048576; 917503; 1,04308E-07; 1,19209E-07; true; 0,0957031; 0,109375
2097152; 1835007; 1,04308E-07; 1,19209E-07; true; 0,191406; 0,21875
4194304; 3670015; 1,04308E-07; 1,19209E-07; true; 0,401786; 0,4375
