Ожидаемое число шагов; Реальное число шагов; dx ожидаемое; dx реальное; Разность постоянна?; Полученный результат; Требуемый результат
1; 1; 1,04308E-07; 1,19209E-07; true; 1,19209E-07; 1,04308E-07
2; 2; 1,04308E-07; 1,19209E-07; true; 2,38419E-07; 2,08616E-07
4; 4; 1,04308E-07; 1,19209E-07; true; 4,17233E-07; 4,17233E-07
8; 7; 1,04308E-07; 1,19209E-07; true; 7,30157E-07; 8,34465E-07
16; 14; 1,04308E-07; 1,19209E-07; true; 1,46031E-06; 1,66893E-06
32; 28; 1,04308E-07; 1,19209E-07; true; 2,92063E-06; 3,33786E-06
64; 56; 1,04308E-07; 1,19209E-07; true; 5,84126E-06; 6,67572E-06
128; 112; 1,04308E-07; 1,19209E-07; true; 1,16825E-05; 1,33514E-05
256; 224; 1,04308E-07; 1,19209E-07; true; 2,3365E-05; 2,67029E-05
512; 448; 1,04308E-07; 1,19209E-07; true; 4,673E-05; 5,34058E-05
1024; 896; 1,04308E-07; 1,19209E-07; true; 9,34601E-05; 0,000106812
2048; 1792; 1,04308E-07; 1,19209E-07; true; 0,00018692; 0,000213623
4096; 3584; 1,04308E-07; 1,19209E-07; true; 0,00037384; 0,000427246
8192; 7168; 1,04308E-07; 1,19209E-07; true; 0,000747681; 0,000854492
16384; 14336; 1,04308E-07; 1,19209E-07; true; 0,00149536; 0,00170898
32768; 28672; 1,04308E-07; 1,19209E-07; true; 0,00299072; 0,00341797
65536; 57344; 1,04308E-07; 1,19209E-07; true; 0,00598145; 0,00683594
131072; 114688; 1,04308E-07; 1,19209E-07; true; 0,0119629; 0,0136719
262144; 229376; 1,04308E-07; 1,19209E-07; true; 0,0239258; 0,0273438
524288; 458752; 1,04308E-07; 1,19209E-07; true; 0,0478516; 0,0546875
1048576; 917504; 1,04308E-07; 1,19209E-07; true; 0,0957031; 0,109375
2097152; 1835008; 1,04308E-07; 1,19209E-07; true; 0,191406; 0,21875
4194304; 3670016; 1,04308E-07; 1,19209E-07; true; 0,401786; 0,4375
